Points: 33
Width: 0.0442424
Duration: 6.93351e+11
0.0933625 0.344978 0.490176
0.150995 0.410479 0.490176
0.208571 0.475982 0.490176
0.263091 0.650655 0.643015
0.321267 0.694323 0.795853
0.378428 0.672489 0.948692
0.433531 0.628821 0.99236
0.492124 0.454148 0.99236
0.543846 0.257641 0.774019
0.602717 0.192139 0.62118
0.658953 0.14847 0.315503
0.715209 0.257641 0.140831
0.772649 0.475982 0.0753279
0.827867 0.606987 0.0753279
0.885751 0.868996 0.140831
0.943537 1 0.206333
1 1 0.206333

Points: 0
Width: 0
Duration: 3.65041
Centroid: 0 0

Points: 28
Width: 0.0500447
Duration: 443.987
Centroid: 0.0570536 0.746295
0.711888 0.666815 0.74933
0.724796 0.704282 0.74933
0.734067 0.704282 0.74933
0.747437 0.691793 0.761819
0.756823 0.691793 0.774308
0.775558 0.666815 0.799286
0.795036 0.641837 0.811775
0.812095 0.554416 0.849241
0.831105 0.491971 0.86173
0.850603 0.491971 0.86173
0.869958 0.454505 0.811775
0.890292 0.417038 0.686886
0.907327 0.417038 0.499554
0.925344 0.417038 0.399643
0.944207 0.429527 0.21231
0.962574 0.454505 0.0499553
0.982292 0.454505 0
1 0.454505 0
0 0.229706 0.312221
0.0132031 0.254684 0.312221
0.022397 0.279661 0.312221
0.0357094 0.279661 0.312221
0.0446623 0.317128 0.312221
0.0624252 0.354594 0.32471
0.0813458 0.417038 0.337199
0.0994195 0.629349 0.374665
0.118725 0.71677 0.387154
0.137905 0.71677 0.387154

Points: 18
Width: 0.0243055
Duration: 126.852
Centroid: 0.188264 0.714306
0 0.407143 0.745715
0.0301849 0.355714 0.642858
0.0621394 0.355714 0.565715
0.10854 0.355714 0.488572
0.143955 0.355714 0.385715
0.209512 0.355714 0.282858
0.279219 0.355714 0.154286
0.34219 0.458571 0
0.408448 0.535714 0
0.472661 0.69 0.0514286
0.5405 0.844286 0.308573
0.60405 0.87 0.617144
0.668673 0.767143 0.874286
0.735479 0.69 0.925716
0.803665 0.51 0.900001
0.867925 0.381428 0.771429
0.930892 0.355714 0.642858
1 0.355714 0.642858

Points: 18
Width: 0.0310417
Duration: 128.061
Centroid: 0.305208 0.720764
0 0.275167 0.64877
0.0456661 0.275167 0.548099
0.076093 0.275167 0.487697
0.106692 0.275167 0.387025
0.154197 0.295301 0.306488
0.217479 0.315436 0.246086
0.287774 0.33557 0.12528
0.348019 0.355704 0.105145
0.411868 0.375839 0.185682
0.478821 0.375839 0.286354
0.544497 0.395973 0.568233
0.610567 0.456376 0.769575
0.671991 0.577181 0.809844
0.739522 0.697986 0.769575
0.80451 0.778523 0.729307
0.872455 0.939597 0.689038
0.936639 1 0.668904
1 1 0.668904

Points: 0
Width: 0
Duration: 3.62215
Centroid: 0 0

Points: 24
Width: 0.0463542
Duration: 438.882
Centroid: 0.545521 0.743854
0.774771 0.57528 0.984269
