Points: 26
Width: 0.133269
Duration: 308.034
0.0934576 0.611238 0.801605
0.12958 0.581422 0.84633
0.17437 0.491972 0.935779
0.217434 0.432339 0.950687
0.259556 0.298165 0.935779
0.302982 0.149083 0.786697
0.345175 0.0298167 0.533257
0.390638 0 0.279816
0.433932 0.0298167 0.190367
0.47694 0.134174 0.100917
0.521756 0.298165 0.115825
0.563221 0.447248 0.25
0.616294 0.491972 0.354358
0.653857 0.581422 0.533257
0.695836 0.59633 0.607798
0.737912 0.611238 0.577982
0.781022 0.626146 0.518349
0.824198 0.670871 0.369266
0.869682 0.760321 0.235092
0.912008 0.819954 0.145642
0.956401 0.84977 0.130734
1 0.879587 0.115825

Points: 15
Width: 0.0747778
Duration: 103.795
Centroid: 0.482778 0.584778
0 0.670877 0.746657
0.056348 0.648588 0.802377
0.0956006 0.6263 0.83581
0.152701 0.604012 0.858098
0.192076 0.57058 0.880386
0.277647 0.537147 0.880386
0.358203 0.43685 0.846954
0.437282 0.325409 0.690936
0.514894 0.213967 0.45691
0.595281 0.191679 0.234027
0.677022 0.213967 0.144874
0.756798 0.369985 0.0334324
0.835557 0.57058 0
0.918051 0.670877 0.0111441
1 0.849183 0.0780088

Points: 33
Width: 0.117929
Duration: 315.544
Centroid: 0.508788 0.610404
0 0.342612 0.992934
0.0183215 0.342612 1
0.0310104 0.342612 1
0.0438696 0.342612 0.985867
0.0627172 0.342612 0.957602
0.0762448 0.342612 0.908137
0.101917 0.356745 0.837473
0.128628 0.38501 0.660814
0.154183 0.413276 0.455889
0.181857 0.427409 0.364026
0.20799 0.441542 0.222698
0.234126 0.448608 0.137901
0.259757 0.448608 0.109636
0.287602 0.448608 0.109636
0.570054 0.702998 0.597216
0.582427 0.702998 0.611349
0.601686 0.702998 0.611349
0.614007 0.688865 0.611349
0.630218 0.674732 0.604282
0.656183 0.653533 0.59015
0.683294 0.611135 0.540685
0.70948 0.547537 0.477088
0.735384 0.469807 0.420557
0.762891 0.441542 0.392291
0.789494 0.399143 0.356959
0.815336 0.392077 0.342826
0.841002 0.40621 0.314561
0.868333 0.462741 0.286295
0.89437 0.505139 0.265096
0.920818 0.597002 0.222698
0.946493 0.674732 0.187366
0.973595 0.702998 0.173233
1 0.73833 0.152034

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 26
Width: 0.0650641
Duration: 194.072
Centroid: 0.476603 0.545385
0 0.0394082 0.906897
0.0304282 0.0522161 0.932512
0.0509837 0.0394082 0.919705
0.0716349 0.0266003 0.868473
0.102405 0.0266003 0.778818
0.143662 0.0650239 0.509852
0.185805 0.103448 0.368965
0.226282 0.180295 0.151231
0.268465 0.257142 0.0487681
0.312519 0.295566 0.0359603
0.356328 0.359606 0.0999996
0.399039 0.423645 0.27931
0.442203 0.474876 0.45862
0.484346 0.5133 0.52266
0.528888 0.538916 0.52266
0.571006 0.602955 0.433004
0.612464 0.679803 0.317734
0.655704 0.731034 0.27931
0.699864 0.820689 0.240886
0.741977 0.897537 0.292118
0.786499 0.948768 0.433004
0.828848 0.974384 0.612315
0.871856 0.974384 0.676354
0.914029 0.987192 0.753202
0.959151 0.987192 0.778818
1 1 0.778818

Points: 19
Width: 0.103947
Duration: 170.702
Centroid: 0.487719 0.587281
0 0.462869 0.416877
0.022523 0.478903 0.456962
0.0580438 0.494937 0.472996
0.081076 0.494937 0.481013
0.120716 0.494937 0.481013
0.168674 0.502954 0.416877
0.221311 0.502954 0.360759
0.267639 0.502954 0.232489
0.315963 0.510971 0.120253
0.367256 0.543038 0.0320675
0.413772 0.583122 0
0.77275 0.478903 0.705485
0.795559 0.494937 0.745569
0.830817 0.494937 0.753586
0.853712 0.494937 0.761603
0.889467 0.494937 0.76962
0.912625 0.494937 0.76962
0.951373 0.48692 0.76962
1 0.48692 0.753586

Points: 27
Width: 0.108025
Duration: 204.606
Centroid: 0.523457 0.561975
0 0.622857 0.344285
0.0190056 0.615143 0.367428
0.0388656 0.599714 0.390571
0.0677415 0.576571 0.429142
0.103839 0.545714 0.467714
0.143692 0.491714 0.544857
0.183073 0.43 0.591143
0.223428 0.391428 0.591143
0.265511 0.314285 0.544857
0.305589 0.229428 0.406
0.345834 0.190857 0.251714
0.38772 0.190857 0.19
0.428705 0.260285 0.120571
0.469332 0.368286 0.128285
0.511209 0.468571 0.220857
