Points: 24
Width: 0.150972
Duration: 178.714
0.193597 0.547518 0.930496
0.222295 0.519149 0.907801
0.251222 0.468085 0.84539
0.279404 0.428369 0.737589
0.307318 0.411348 0.584397
0.336347 0.411348 0.499291
0.365733 0.428369 0.340426
0.394198 0.456738 0.209929
0.422467 0.479433 0.113475
0.45258 0.485106 0.073759
0.481386 0.496454 0.0170213
0.510523 0.496454 0
0.781838 0.303546 0.317731
0.795016 0.286525 0.306383
0.808669 0.280851 0.306383
0.829525 0.280851 0.300709
0.843469 0.286525 0.295036
0.857112 0.314894 0.295036
0.885516 0.348936 0.289362
0.913113 0.451064 0.295036
0.941159 0.564539 0.317731
0.972569 0.609929 0.323404
1 0.643972 0.323404

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 25
Width: 0.1242
Duration: 275.131
Centroid: 0.482933 0.6592
0 0.528449 0.959473
0.0141304 0.535159 0.966183
0.0290167 0.535159 0.966183
0.0507642 0.535159 0.952764
0.0651004 0.535159 0.919216
0.0915509 0.535159 0.865539
0.121299 0.535159 0.711218
0.151547 0.528449 0.623993
0.18291 0.50832 0.436124
0.213073 0.501611 0.254965
0.242679 0.51503 0.120773
0.271661 0.541868 0.0402576
0.302395 0.561997 0.0134192
0.333776 0.608964 0
0.363928 0.635803 0
0.770805 0.34729 0.436124
0.784758 0.313742 0.436124
0.799261 0.293613 0.442834
0.82082 0.293613 0.442834
0.849294 0.300323 0.442834
0.879564 0.327161 0.442834
0.908847 0.488191 0.469672
0.938059 0.608964 0.50322
0.969169 0.655931 0.516639
1 0.729737 0.536768

Points: 17
Width: 0.0583333
Duration: 120.015
Centroid: 0.463333 0.573529
0 0.328571 0.612605
0.0493267 0.328571 0.59832
0.0826315 0.328571 0.541177
0.115749 0.328571 0.455462
0.166907 0.357143 0.355462
0.234037 0.414286 0.169748
0.304675 0.428571 0.112605
0.376386 0.457143 0.0411762
0.445754 0.471429 0.0554619
0.515473 0.471429 0.098319
0.586021 0.442857 0.312605
0.656032 0.442857 0.59832
0.723699 0.514286 0.812605
0.790317 0.628571 0.912605
0.859905 0.7 0.941176
0.931104 0.857143 0.941176
1 1 0.941176

Points: 25
Width: 0.0601334
Duration: 186.273
Centroid: 0.494667 0.5718
0 0.558205 0.623614
0.0209181 0.558205 0.734478
0.0423133 0.544347 0.789911
0.0746446 0.516631 0.845343
0.104155 0.488915 0.900775
0.149798 0.475057 0.942349
0.194669 0.391908 0.970066
0.240034 0.294901 0.928491
0.283401 0.211753 0.748336
0.326742 0.156321 0.471175
0.375094 0.142463 0.318736
0.41757 0.184037 0.0970065
0.461561 0.294901 0
0.505174 0.419624 0.0277161
0.552143 0.488915 0.0831484
0.596837 0.558205 0.277161
0.641042 0.599779 0.498891
0.687476 0.599779 0.637472
0.730099 0.599779 0.665188
0.774766 0.613637 0.623614
0.819648 0.641353 0.498891
0.863152 0.710644 0.332594
0.909082 0.752218 0.249445
0.954033 0.835367 0.138581
1 0.863083 0.0970065

Points: 24
Width: 0.0584028
Duration: 174.215
Centroid: 0.486597 0.565278
0 0.286564 0.740191
0.0223379 0.258026 0.754459
0.0565652 0.243757 0.740191
0.0797103 0.229489 0.683116
0.102457 0.229489 0.611772
