Points: 32
Width: 0.299635
Duration: 517.669
0.473706 0.670991 0
0.493596 0.70694 0.0359487
0.513099 0.757268 0.100656
0.532971 0.800406 0.172554
0.552196 0.843545 0.251641
0.571593 0.865114 0.323539
0.591224 0.893873 0.402626
0.610929 0.901063 0.474523
0.630973 0.908253 0.546421
0.650832 0.908253 0.596749
0.668895 0.872304 0.654267
0.688006 0.814786 0.697406
0.70757 0.771647 0.726165
0.726188 0.721319 0.754924
0.746131 0.670991 0.776493
0.765445 0.627853 0.798062
0.785114 0.591904 0.805252
0.80419 0.527196 0.812442
0.82349 0.484057 0.812442
0.842839 0.440919 0.812442
0.862636 0.390591 0.812442
0.882412 0.340263 0.805252
0.902386 0.297124 0.798062
0.921127 0.268365 0.790872
0.941118 0.253985 0.783683
0.960462 0.246796 0.776493
0.980189 0.239606 0.762113
1 0.239606 0.747734

Points: 54
Width: 0.174074
Duration: 513.512
Centroid: 0.502593 0.536173
0 0.0904251 0.870035
0.00139968 0.0856378 0.860461
0.0180741 0.0808506 0.846099
0.034836 0.0808506 0.82695
0.052039 0.0760633 0.798227
0.0691356 0.0712761 0.764716
0.085133 0.0664889 0.716844
0.1025 0.0664889 0.664184
0.119071 0.0664889 0.60195
0.135883 0.0664889 0.530141
0.152614 0.0664889 0.472695
0.169931 0.0664889 0.410461
0.186001 0.0712761 0.362588
0.203265 0.0904251 0.324291
0.219825 0.114361 0.29078
0.236538 0.157446 0.266844
0.25349 0.200532 0.257269
0.270518 0.253191 0.247695
0.287337 0.296276 0.23812
0.304627 0.353723 0.23812
0.321123 0.382447 0.262056
0.338277 0.425532 0.324291
0.355286 0.454255 0.386525
0.371876 0.468617 0.443971
0.387931 0.482978 0.506205
0.404149 0.492553 0.534929
0.420447 0.492553 0.549291
0.43857 0.49734 0.558865
0.497843 0.49734 0.554078
0.515115 0.49734 0.534929
0.531763 0.502127 0.506205
0.548521 0.516489 0.46312
0.565735 0.540425 0.420035
0.582478 0.569149 0.367376
0.598673 0.612234 0.324291
0.615846 0.650532 0.295567
0.63219 0.684042 0.281205
0.648681 0.727127 0.276418
0.665276 0.770213 0.276418
0.681905 0.832447 0.285993
0.698716 0.865957 0.309929
0.715615 0.91383 0.353014
0.732711 0.952128 0.391312
0.748914 0.971277 0.42961
0.766304 0.990426 0.467907
0.782944 1 0.530141
0.799793 1 0.606737
0.816707 0.995213 0.664184
0.833815 0.985638 0.707269
0.850166 0.971277 0.745567
0.867506 0.966489 0.759929
0.884051 0.961702 0.764716
0.982755 0.956915 0.764716
1 0.952128 0.764716

Points: 0
Width: 6.20661e-36
Duration: 1.4013e-45
Centroid: 0 0

Points: 43
Width: 0.163915
Duration: 418.104
Centroid: 0.455853 0.557248
0 0.75668 0.925277
0.155128 0.751596 0.925277
0.175962 0.741428 0.925277
0.196194 0.726176 0.925277
0.2165 0.695673 0.925277
